FAUX;Ernst;Flückiger;m;SO;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1943-12-05;1931-12-01;
FAUX;Daniel;Flückiger;m;BE;CN;Centre;Membre;Parti radical-démocratique suisse;1875-12-06;1873-07-08;
FAUX;Daniel;Flückiger;m;BE;CN;Centre;Membre;Parti radical-démocratique suisse;1872-12-02;1869-12-07;
FAUX;Sylvia;Flückiger-Bäni;f;AG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2015-11-29;2011-12-05;
FAUX;Sylvia;Flückiger-Bäni;f;AG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
VRAI;Sylvia;Flückiger-Bäni;f;AG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;;2015-11-30;
FAUX;Ernst;Flükiger;m;SG;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1952-06-01;1945-06-04;
FAUX;Kurt;Fluri;m;SO;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2007-12-02;2003-12-01;
FAUX;Kurt;Fluri;m;SO;CN;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;2015-11-29;2011-12-05;
VRAI;Kurt;Fluri;m;SO;CN;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;;2015-11-30;
FAUX;Kurt;Fluri;m;SO;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2011-12-04;2007-12-03;
FAUX;Augusto;Fogliardi;m;TI;CN;;Membre;Parti radical-démocratique suisse;1854-10-02;1852-07-06;
FAUX;Augusto;Fogliardi;m;TI;CN;;Membre;Parti radical-démocratique suisse;1863-10-02;1863-01-13;
FAUX;Augusto;Fogliardi;m;TI;CE;;Membre;Parti radical-démocratique suisse;1864-12-02;1864-07-05;
FAUX;Peter;Föhn;m;SZ;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
VRAI;Peter;Föhn;m;SZ;CE;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;;2015-11-30;
FAUX;Peter;Föhn;m;SZ;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2007-12-02;2003-12-01;
FAUX;Peter;Föhn;m;SZ;CE;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2015-11-29;2011-12-15;
FAUX;Peter;Föhn;m;SZ;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2003-11-30;1995-12-04;
FAUX;Casimir;Folletête;m;BE;CN;;Membre;Conservateurs;1900-12-23;1895-11-02;
FAUX;Jean;Folly;m;FR;CN;Gauche;Membre;Parti radical-démocratique suisse;1851-12-01;1848-11-07;
FAUX;Charles-Eugène;Fonjallaz;m;VD;CN;;Membre;Parti radical-démocratique suisse;1908-12-06;1885-03-10;
FAUX;J.-Frédéric-H.;Fonjallaz;m;VD;CN;;Membre;Parti radical-démocratique suisse;1857-12-07;1854-12-05;
FAUX;Charles-Eugène;Fonjallaz;m;VD;CN;;Membre;Parti radical-démocratique suisse;1917-02-02;1910-12-05;
FAUX;J.-P.-Théodore;Fontana;m;GE;CN;;Membre;Conservateurs;1907-03-14;1902-12-01;
FAUX;Jean-Adolphe-Ch.;Fontanel;m;GE;CE;;Membre;Parti radical-démocratique suisse;1853-12-02;1853-01-11;
FAUX;Guy;Fontanet;m;GE;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;1978-09-01;1971-11-29;
FAUX;Christian;Foppa;m;GR;CN;Groupe conservateur-catholique;Membre;Conservateurs;1939-12-03;1925-12-07;
FAUX;Armand-Auguste;Forel;m;VD;CN;;Membre;Parti suisse du Travail;1951-12-02;1947-12-01;
FAUX;Armand-Auguste;Forel;m;VD;CN;Groupe du Parti du travail;Membre;Parti suisse du Travail;1983-11-28;1955-12-05;
FAUX;Ch.-E.-Constant;Fornerod;m;VD;CE;;Président(e);Parti radical-démocratique suisse;1855-07-13;1853-06-02;
FAUX;Ch.-E.-Constant;Fornerod;m;VD;CE;;Membre;Parti radical-démocratique suisse;1855-07-13;1853-06-02;
FAUX;Ch.-E.-Constant;Fornerod;m;VD;CF;;;Parti radical-démocratique suisse;1867-11-01;1855-07-12;
FAUX;Carl'Antonio;Forni;m;TI;CE;;Membre;Parti radical-démocratique suisse;1864-12-02;1864-07-05;
FAUX;Johann Ludwig;Forrer;m;ZH;CN;Groupe démocrate;Membre;Démocrates;1875-10-02;1875-03-09;
FAUX;Johann Ludwig;Forrer;m;ZH;CF;;;Démocrates;1917-12-31;1902-12-11;
FAUX;Robert;Forrer;m;SG;CN;;Membre;Parti radical-démocratique suisse;1924-09-27;1908-12-07;
FAUX;Johann Ludwig;Forrer;m;ZH;CN;Groupe démocrate;Membre;Démocrates;1878-12-02;1876-03-07;
FAUX;Johann Ludwig;Forrer;m;ZH;CN;Groupe démocrate;Membre;Démocrates;1900-06-30;1881-12-06;
FAUX;Georg E.;Forster;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1922-12-03;1919-12-01;
FAUX;Erika;Forster;f;SG;CE;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2003-11-30;1995-12-04;
FAUX;Erika;Forster-Vannini;f;SG;CE;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2007-12-02;2003-12-01;
FAUX;Erika;Forster-Vannini;f;SG;CE;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2011-12-04;2007-12-03;
FAUX;Jean-René;Fournier;m;VS;CE;Groupe PDC/PEV/PVL;Membre;Parti démocrate-chrétien suisse;2011-12-04;2007-12-03;
FAUX;Jean-René;Fournier;m;VS;CE;Groupe PDC-PEV;Membre;Parti démocrate-chrétien suisse;2015-11-29;2011-12-05;
VRAI;Jean-René;Fournier;m;VS;CE;Groupe PDC;Membre;Parti démocrate-chrétien suisse;;2015-11-30;
FAUX;Pierre-Th.;Fracheboud;m;FR;CN;;Membre;Conservateurs;1872-12-02;1863-12-08;
FAUX;Pierre-Th.;Fracheboud;m;FR;CE;;Membre;Conservateurs;1863-10-02;1857-06-10;
FAUX;Thomas;Fraefel;m;ZG;CN;Groupe socialiste;Membre;Parti socialiste suisse;1979-11-25;1975-12-01;
FAUX;Paul;Frainier;m;VD;CN;Groupe conservateur-catholique;Membre;Conservateurs;1955-12-04;1951-12-11;
FAUX;Paul;Frainier;m;VD;CN;Groupe conservateur-catholique sociale;Membre;Parti conservateur chrétien-social;1962-08-18;1959-12-07;
FAUX;Hubert;Frainier;m;BE;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;1995-12-03;1995-06-19;
FAUX;Olivier;Français;m;VD;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2011-12-04;2007-12-03;
FAUX;Olivier;Français;m;VD;CN;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;2015-11-29;2011-12-05;
VRAI;Olivier;Français;m;VD;CE;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;;2015-11-30;
FAUX;Alessandro;Franchini;m;TI;CE;;Membre;Parti radical-démocratique suisse;1866-04-02;1865-07-04;
FAUX;Ernest;Francillon;m;BE;CN;;Membre;Parti radical-démocratique suisse;1890-12-01;1881-12-06;
FAUX;Ferdinand;Frank;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1935-12-01;1919-12-01;
FAUX;Stefano;Franscini;m;TI;CN;;Membre;Parti radical-démocratique suisse;1848-11-17;1848-11-07;
FAUX;Stefano;Franscini;m;SH;CN;;Membre;Parti radical-démocratique suisse;1855-03-02;1854-12-05;
FAUX;Stefano;Franscini;m;TI;CF;;;Parti radical-démocratique suisse;1857-07-20;1848-11-17;
FAUX;Enrico;Franzoni;m;TI;CN;Groupe conservateur-catholique sociale;Membre;Parti conservateur chrétien-social;1975-11-30;1959-12-07;
FAUX;Alberto;Franzoni;m;TI;CE;;Membre;Conservateurs;1879-06-02;1875-06-08;
FAUX;Giuseppe;Fratecolla;m;TI;CE;;Membre;Parti radical-démocratique suisse;1870-05-02;1868-07-07;
VRAI;Sebastian;Frehner;m;BS;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;;2015-11-30;
FAUX;Sebastian;Frehner;m;BS;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2010-11-29;
FAUX;Sebastian;Frehner;m;BS;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2015-11-29;2011-12-05;
FAUX;Hans;Frei;m;TG;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;1986-05-18;1979-11-26;
FAUX;Emil;Frei;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1963-12-01;1939-12-04;
FAUX;Johannes L.;Frei;m;BS;CN;;Membre;Parti socialiste suisse;1919-11-01;1911-12-04;
FAUX;Jakob;Freiburghaus;m;BE;CN;;Membre;Parti radical-démocratique suisse;1927-08-17;1896-03-17;
FAUX;Erwin;Freiburghaus;m;BE;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1979-11-25;1959-12-07;
FAUX;Eduard;Freimüller;m;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1963-12-01;1943-12-06;
FAUX;Pankraz;Freitag;m;GL;CE;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2011-12-04;2008-03-03;
FAUX;Pankraz;Freitag;m;GL;CE;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;2013-10-05;2011-12-05;
FAUX;Hermann;Freuler;m;SH;CE;Centre;Membre;Libéral;1881-12-05;1875-12-07;
FAUX;Hermann;Freuler;m;SH;CE;Non inscrit;Membre;Libéral;1896-12-07;1895-06-05;
FAUX;Jakob;Freund;m;AR;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2003-11-30;1995-12-04;
FAUX;Emil;Frey;m;AG;CN;Gauche;Membre;Démocrates;1896-12-07;1893-03-14;
FAUX;Emil Joh. Rud.;Frey;m;BL;CN;;Membre;Parti radical-démocratique suisse;1882-07-02;1872-12-03;
FAUX;Alfred;Frey;m;ZH;CN;;Membre;Parti radical-démocratique suisse;1924-09-22;1900-03-19;
FAUX;Walter;Frey;m;ZH;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2001-11-25;1995-12-04;
FAUX;Emil Joh. Rud.;Frey;m;BL;CN;;Membre;Parti radical-démocratique suisse;1890-12-21;1890-12-02;
FAUX;Claude;Frey;m;NE;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1995-12-03;1979-11-26;
FAUX;Emil Remig.;Frey;m;BL;CE;Gauche;Membre;Parti radical-démocratique suisse;1867-12-02;1864-07-05;
FAUX;Theodor;Frey;m;ZH;CN;;Membre;Parti radical-démocratique suisse;1911-12-03;1905-12-04;
FAUX;Samuel;Frey;m;AG;CN;Centre;Membre;Libéral;1863-12-07;1852-07-06;
FAUX;Emil Remig.;Frey;m;BL;CN;Gauche;Membre;Parti radical-démocratique suisse;1851-12-01;1848-11-07;
FAUX;Emil Joh. Rud.;Frey;m;BL;CN;;Président(e);Parti radical-démocratique suisse;1882-07-02;1872-12-03;
FAUX;Claude;Frey;m;NE;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2003-11-30;1995-12-04;
FAUX;Emil Joh. Rud.;Frey;m;BL;CF;;;Parti radical-démocratique suisse;1897-04-01;1890-12-12;
FAUX;Tilo;Frey;f;NE;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1975-11-30;1971-11-29;
FAUX;Walter;Frey;m;ZH;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;1995-12-03;1987-11-30;
FAUX;Emil Joh. Rud.;Frey;m;BL;CN;;Membre;Parti radical-démocratique suisse;1882-07-02;1872-12-03;
FAUX;Walter;Frey;m;ZH;CN;Groupe de l'Union démocratique du Centre;Président(e);Union Démocratique du Centre;2001-11-25;1995-12-04;
FAUX;Friedrich A.;Frey-Hérosé;m;AG;CN;Centre;Membre;Libéral;1848-11-17;1848-11-07;
FAUX;Friedrich A.;Frey-Hérosé;m;AG;CF;;;Libéral;1867-01-01;1848-11-17;
FAUX;Friedrich A.;Frey-Hérosé;m;AG;CN;Centre;Membre;Libéral;1872-12-02;1866-12-04;
FAUX;Pierre;Freymond;m;VD;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1971-04-11;1967-12-04;
FAUX;Oskar;Freysinger;m;VS;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2015-11-29;2011-12-05;
FAUX;Oskar;Freysinger;m;VS;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Oskar;Freysinger;m;VS;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2007-12-02;2003-12-01;
FAUX;Bruno;Frick;m;SZ;CE;Groupe PDC/PEV/PVL;Membre;Parti démocrate-chrétien suisse;2011-12-04;2007-12-03;
FAUX;Simon;Frick;m;SG;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1967-12-03;1963-12-02;
FAUX;Bruno;Frick;m;SZ;CE;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;2003-11-30;1991-11-25;
FAUX;Bruno;Frick;m;SZ;CE;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;2007-12-02;2003-12-01;
FAUX;Bruno;Frick;m;SZ;CE;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;2003-11-30;1991-11-25;
FAUX;Hans;Fricker;m;AG;CE;Groupe conservateur-catholique;Membre;Conservateurs;1955-12-04;1933-03-27;
FAUX;Hans;Fricker;m;AG;CN;Groupe conservateur-catholique;Membre;Conservateurs;1933-03-01;1925-12-07;
FAUX;Hans;Fricker;m;AG;CE;Groupe conservateur-catholique;Président(e);Conservateurs;1955-12-04;1933-03-27;
VRAI;Jonas;Fricker;m;AG;CN;Groupe des Verts;Membre;Parti écologiste suisse;;2015-11-30;
FAUX;Hans;Fricker;m;AG;CE;Groupe conservateur-catholique;Membre;Conservateurs;1955-12-04;1933-03-27;
FAUX;Charles-M.;Friderich;m;GE;CE;;Membre;Parti radical-démocratique suisse;1863-12-07;1863-01-13;
FAUX;Charles-M.;Friderich;m;GE;CN;;Président(e);Parti radical-démocratique suisse;1872-12-02;1864-10-02;
FAUX;Charles-M.;Friderich;m;GE;CN;;Membre;Parti radical-démocratique suisse;1872-12-02;1864-10-02;
FAUX;Charles-M.;Friderich;m;GE;CN;;Membre;Parti radical-démocratique suisse;1872-12-02;1864-10-02;
FAUX;Charles;Friderici;m;VD;CN;Groupe libéral;Membre;Parti libéral suisse;1995-12-05;1987-11-30;
FAUX;Charles;Friderici;m;VD;CN;Groupe libéral;Membre;Parti libéral suisse;1999-12-05;1995-12-06;
VRAI;Pierre-Alain;Fridez;m;JU;CN;Groupe socialiste;Membre;Parti socialiste suisse;;2015-11-30;
FAUX;Pierre-Alain;Fridez;m;JU;CN;Groupe socialiste;Membre;Parti socialiste suisse;2015-11-29;2011-12-05;
VRAI;Claudia;Friedl;f;SG;CN;Groupe socialiste;Membre;Parti socialiste suisse;;2015-11-30;
FAUX;Claudia;Friedl;f;SG;CN;Groupe socialiste;Membre;Parti socialiste suisse;2015-11-29;2013-03-04;
FAUX;Valentine;Friedli;f;JU;CN;Groupe socialiste;Membre;Parti socialiste suisse;1987-11-29;1983-11-28;
FAUX;Rudolf;Friedrich;m;ZH;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1982-12-08;1975-12-01;
FAUX;Rudolf;Friedrich;m;ZH;CF;;;Parti radical-démocratique suisse;1984-10-20;1982-12-08;
FAUX;Oscar;Fritschi;m;ZH;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1995-12-03;1991-11-25;
FAUX;Oscar;Fritschi;m;ZH;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1999-12-05;1995-12-04;
FAUX;Friedrich;Fritschi;m;ZH;CN;;Membre;Démocrates;1919-11-01;1902-12-01;
FAUX;Paul;Fröhlich;m;LU;CN;Groupe socialiste;Membre;Parti socialiste suisse;1950-06-01;1943-03-30;
FAUX;Therese;Frösch;f;BE;CN;Groupe des Verts;Membre;Alliance verte;2011-12-04;2007-12-03;
FAUX;Therese;Frösch;f;BE;CN;Groupe des Verts;Président(e);Alliance verte;2007-12-02;2003-12-01;
FAUX;Therese;Frösch;f;BE;CN;Groupe des Verts;Président(e);Alliance verte;2011-12-04;2007-12-03;
FAUX;Therese;Frösch;f;BE;CN;Groupe des Verts;Membre;Alliance verte;2007-12-02;2003-12-01;
FAUX;Hans-Rudolf;Früh;m;AR;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1995-12-03;1975-12-01;
FAUX;Thomas;Fuchs;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2011-05-30;
FAUX;Hans;Fuchs;m;SZ;CN;Groupe conservateur-catholique;Membre;Conservateurs;1967-12-03;1951-12-03;
FAUX;Cornelia;Füeg;f;SO;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1983-11-27;1975-12-01;
FAUX;Friedrich;Fueter;m;BE;CN;Droite évangélique (cons. réf.);Membre;Conservateurs réformés;1857-12-07;1848-11-07;
FAUX;Lieni;Füglistaller;m;AG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2007-12-02;2005-05-30;
FAUX;Lieni;Füglistaller;m;AG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Hans;Fünfschilling;m;BL;CE;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2003-11-30;1999-12-06;
FAUX;Hans;Fünfschilling;m;BL;CE;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2007-12-02;2003-12-01;
FAUX;Alexander L.;Funk;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1851-12-01;1848-11-07;
FAUX;Johann Georg;Fuog;m;SH;CN;Gauche;Membre;Parti radical-démocratique suisse;1860-12-03;1850-04-06;
FAUX;Kurt;Furgler;m;SG;CN;Groupe conservateur-catholique sociale;Président(e);Conservateurs;1971-12-07;1954-12-16;
FAUX;Kurt;Furgler;m;SG;CN;Groupe conservateur-catholique;Membre;Conservateurs;1971-12-07;1954-12-16;
FAUX;Kurt;Furgler;m;SG;CF;;;Parti démocrate-chrétien suisse;1986-12-31;1971-12-08;
FAUX;Emil Heinrich;Furrer;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1935-12-01;1933-09-25;
FAUX;Jonas;Furrer;m;ZH;CE;;Membre;Libéral;1848-11-17;1848-11-07;
FAUX;Josef;Furrer;m;UR;CN;;Membre;Conservateurs;1914-12-06;1911-12-04;
FAUX;Jonas;Furrer;m;ZH;CF;;;Libéral;1861-07-26;1848-11-17;
FAUX;Adolf;Furrer;m;SO;CN;Groupe socialiste;Membre;Parti socialiste suisse;1963-12-01;1935-12-02;
FAUX;Josef;Furrer;m;UR;CE;;Membre;Conservateurs;1911-12-03;1901-06-03;
FAUX;Antonio;Fusoni;m;TI;CN;;Membre;Parti radical-démocratique suisse;1914-09-21;1912-12-02;
FAUX;Johann Jakob;Gabathuler;m;SG;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1929-06-01;1919-12-01;
FAUX;Johann Jakob;Gabathuler;m;SG;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1947-11-30;1935-12-02;
FAUX;Johann Jakob;Gabathuler;m;SG;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1951-12-02;1951-06-11;
FAUX;Theodor;Gabriel;m;NW;CN;Groupe conservateur-catholique;Membre;Conservateurs;1935-12-01;1932-06-06;
FAUX;Stefano;Gabuzzi;m;TI;CE;;Membre;Parti radical-démocratique suisse;1920-03-01;1910-12-05;
FAUX;Johann Jakob;Gächter;m;SG;CN;;Membre;Conservateurs;1905-07-29;1899-12-05;
FAUX;Brigitta M.;Gadient;f;GR;CN;Groupe BD;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Brigitta M.;Gadient;f;GR;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2007-12-02;2003-12-01;
FAUX;Brigitta M.;Gadient;f;GR;CN;Non inscrit;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Brigitta M.;Gadient;f;GR;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Ulrich;Gadient;m;GR;CE;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;1995-01-22;1980-03-03;
FAUX;Brigitta M.;Gadient;f;GR;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2003-11-30;1999-12-06;
FAUX;Ulrich;Gadient;m;GR;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;1980-03-02;1979-11-26;
FAUX;Brigitta M.;Gadient;f;GR;CN;Groupe BD;Président(e);Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Brigitta M.;Gadient;f;GR;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;1999-12-05;1995-12-04;
FAUX;Andreas;Gadient;m;GR;CN;Groupe démocrate;Membre;Démocrates;1959-12-06;1925-12-07;
FAUX;Brigitta M.;Gadient;f;GR;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;1995-12-03;1995-01-23;
FAUX;Gaudenz;Gadmer;m;GR;CN;Gauche démocratique;Membre;Parti radical-démocratique suisse;1872-12-02;1869-12-07;
FAUX;Gaudenz;Gadmer;m;GR;CE;Gauche démocratique;Membre;Parti radical-démocratique suisse;1866-06-02;1865-07-04;
FAUX;Max;Gafner;m;BE;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1943-03-01;1928-12-03;
FAUX;Emile;Gaillard;m;VS;CN;;Membre;Parti radical-démocratique suisse;1896-11-01;1887-04-13;
FAUX;Chantal;Galladé;f;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;2015-11-29;2011-12-05;
VRAI;Chantal;Galladé;f;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;;2015-11-30;
FAUX;Chantal;Galladé;f;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;2007-12-02;2003-12-01;
FAUX;Chantal;Galladé;f;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;2011-12-04;2007-12-03;
FAUX;Rudolf;Gallati;m;GL;CN;Centre;Membre;Parti radical-démocratique suisse;1904-06-01;1887-12-06;
FAUX;Rudolf;Gallati;m;GL;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1943-05-30;1935-12-02;
FAUX;Rudolf;Gallati;m;GL;CN;;Président(e);Parti radical-démocratique suisse;1904-06-01;1887-12-06;
FAUX;Antonio;Galli;m;TI;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1926-09-01;1926-02-08;
FAUX;A. Domenico;Galli;m;TI;CE;;Membre;Parti radical-démocratique suisse;1851-10-02;1851-07-08;
FAUX;Brenno;Galli;m;TI;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1971-11-28;1959-12-07;
FAUX;Remo Giosué;Galli;m;BE;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;2003-11-30;1999-12-06;
FAUX;Martin;Gamma;m;UR;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1925-12-06;1914-12-07;
FAUX;Raymond;Gamma;m;UR;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1980-07-08;1979-11-26;
FAUX;Fritz;Ganz;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1983-11-27;1971-11-29;
FAUX;Anton Philipp;Ganzoni;m;GR;CE;Gauche;Membre;Parti radical-démocratique suisse;1852-07-02;1848-11-07;
FAUX;Evaristo;Garbani;m;TI;CN;Groupe radical-démocratique;Président(e);Parti radical-démocratique suisse;1922-06-22;1909-12-06;
FAUX;Valérie;Garbani;f;NE;CN;Groupe socialiste;Membre;Parti socialiste suisse;2003-11-30;1999-12-06;
FAUX;Valérie;Garbani;f;NE;CN;Groupe socialiste;Membre;Parti socialiste suisse;2007-12-02;2003-12-01;
FAUX;Evaristo;Garbani;m;TI;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1922-06-22;1909-12-06;
FAUX;Evaristo;Garbani;m;TI;CN;;Membre;Parti radical-démocratique suisse;1922-06-22;1909-12-06;
FAUX;Irène;Gardiol;f;VD;CN;Groupe écologiste;Membre;Parti écologiste suisse;1994-05-29;1990-02-05;
FAUX;Urs;Gasche;m;BE;CN;Groupe BD;Membre;Parti bourgeois-démocratique suisse;2015-11-29;2011-12-05;
VRAI;Urs;Gasche;m;BE;CN;Groupe BD;Membre;Parti bourgeois-démocratique suisse;;2015-12-08;
FAUX;Alfred;Gasser;m;BS;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1965-06-01;1960-06-07;
FAUX;Adolf;Gasser;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1935-12-01;1928-12-03;
FAUX;Hans;Gasser;m;OW;CN;Groupe conservateur-catholique sociale;Membre;Parti conservateur chrétien-social;1971-11-28;1963-12-02;
FAUX;Josias F.;Gasser;m;GR;CN;Groupe vert'libéral;Membre;Parti vert'libéral;2015-11-29;2011-12-05;
FAUX;Pierre;Gassmann;m;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1979-03-01;1971-11-29;
FAUX;Pierre;Gassmann;m;BE;CE;Groupe socialiste;Membre;Parti socialiste suisse;1983-11-27;1979-03-05;
FAUX;Agostino;Gatti;m;TI;CN;;Membre;Conservateurs;1893-12-04;1873-11-04;
FAUX;Oskar August;Gattiker;m;ZH;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1935-12-01;1934-12-03;
FAUX;Oskar August;Gattiker;m;ZH;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1943-12-05;1939-01-31;
FAUX;Emile-Louis;Gaudard;m;VD;CN;;Membre;Parti radical-démocratique suisse;1928-12-02;1893-03-14;
FAUX;Johann Baptist;Gaudy;m;SG;CN;Gauche démocratique;Membre;Démocrates;1881-12-05;1866-12-04;
FAUX;Victor;Gautier;m;GE;CE;Groupe libéral-démocratique;Membre;Parti libéral suisse;1963-12-01;1955-12-05;
FAUX;André;Gautier;m;GE;CN;Groupe libéral et évangélique;Membre;Parti libéral suisse;1987-11-29;1972-11-30;
FAUX;André;Gautier;m;GE;CE;Groupe libéral;Membre;Parti libéral suisse;1991-11-24;1987-11-30;
FAUX;P.-Alexandre;Gavard;m;GE;CE;;Membre;Parti radical-démocratique suisse;1890-12-01;1884-12-02;
FAUX;P.-Alexandre;Gavard;m;GE;CE;;Membre;Parti radical-démocratique suisse;1890-12-01;1884-12-02;
FAUX;P.-Alexandre;Gavard;m;GE;CE;;Membre;Parti radical-démocratique suisse;1898-11-30;1896-12-08;
FAUX;P.-Alexandre;Gavard;m;GE;CE;;Président(e);Parti radical-démocratique suisse;1890-12-01;1884-12-02;
FAUX;Johannes G. jun.;Geel;m;SG;CE;Groupe radical-démocratique;Président(e);Parti radical-démocratique suisse;1931-03-01;1896-12-08;
FAUX;Johannes G. jun.;Geel;m;SG;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1931-03-01;1896-12-08;
