FAUX;Arnold Otto;Aepli;m;SG;CE;Centre;Membre;Libéral;1852-12-02;1851-12-02;
FAUX;Arnold Otto;Aepli;m;SG;CE;Centre;Membre;Libéral;1851-06-02;1850-07-02;
FAUX;Arnold Otto;Aepli;m;SG;CE;Centre;Membre;Libéral;1872-06-02;1865-07-04;
FAUX;Arnold Otto;Aepli;m;SG;CN;Centre;Membre;Libéral;1883-05-02;1872-12-03;
FAUX;Arnold Otto;Aepli;m;SG;CE;Centre;Membre;Libéral;1853-12-02;1853-07-05;
FAUX;A. Otto;Aepli;m;TG;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1921-11-04;1919-01-27;
FAUX;Arnold Otto;Aepli;m;SG;CN;Centre;Membre;Libéral;1883-05-02;1872-12-03;
FAUX;Arnold Otto;Aepli;m;SG;CE;Centre;Membre;Libéral;1849-11-02;1849-04-17;
FAUX;Arnold Otto;Aepli;m;SG;CE;Centre;Président(e);Libéral;1872-06-02;1865-07-04;
FAUX;Regine;Aeppli Wartmann;f;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;2003-11-30;1995-12-04;
FAUX;Adolf;Aeschbach;m;AG;CN;Groupe socialiste;Membre;Parti socialiste suisse;1959-12-06;1943-12-06;
FAUX;Ferdinand;Aeschbacher;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1940-12-01;1939-12-04;
FAUX;Ruedi;Aeschbacher;m;ZH;CN;Groupe PDC/PEV/PVL;Membre;Parti évangélique suisse;2010-05-30;2007-12-03;
FAUX;Ruedi;Aeschbacher;m;ZH;CN;Groupe PEV/UDF;Membre;Parti évangélique suisse;2007-12-02;2003-12-01;
FAUX;Ruedi;Aeschbacher;m;ZH;CN;Groupe évangélique et indépendant;Membre;Parti évangélique suisse;2003-11-30;1999-12-06;
VRAI;Thomas;Aeschi;m;ZG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;;2015-11-30;
FAUX;Thomas;Aeschi;m;ZG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2015-11-29;2011-12-05;
FAUX;Max;Affolter;m;SO;CE;Groupe radical-libéral;Membre;;1991-03-01;1979-11-01;
FAUX;Alfred;Affolter;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1983-11-27;1979-11-26;
FAUX;Hans;Affolter;m;SO;CN;;Membre;Parti socialiste suisse;1930-12-11;1911-12-04;
FAUX;Amanz Kaspar;Affolter;m;SO;CE;;Membre;Parti radical-démocratique suisse;1861-09-29;1856-07-08;
FAUX;Emilio;Agostinetti;m;TI;CN;Groupe socialiste;Membre;Parti socialiste suisse;1966-12-01;1947-12-01;
FAUX;Pierre;Aguet;m;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;1999-12-05;1995-12-04;
FAUX;Pierre;Aguet;m;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;1995-12-03;1987-11-30;
FAUX;Mario;Agustoni;m;TI;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1947-11-30;1943-12-06;
FAUX;Mario;Agustoni;m;TI;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1965-02-08;1963-12-02;
FAUX;Giovanni;Airoldi;m;TI;CE;Centre;Membre;Partito dei Popolini poi Fusionisti;1874-01-02;1869-07-06;
FAUX;Giovanni;Airoldi;m;TI;CE;Centre;Membre;Partito dei Popolini poi Fusionisti;1853-02-02;1852-07-06;
FAUX;Erwin;Akeret;m;ZH;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1983-11-27;1955-12-05;
FAUX;Hans;Albrecht;m;SG;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1959-12-06;1952-06-03;
FAUX;Jakob;Albrecht;m;TG;CE;Gauche;Membre;Libéral;1855-06-02;1851-12-02;
FAUX;Luigi;Albrecht;m;GR;CN;Groupe conservateur-catholique;Membre;Conservateurs;1955-01-24;1943-12-06;
FAUX;H. Jakob;Albrecht;m;ZH;CN;Centre;Membre;Libéral;1874-11-02;1873-01-02;
FAUX;August;Albrecht;m;NW;CN;Groupe conservateur-catholique sociale;Membre;Parti conservateur chrétien-social;1979-11-25;1967-12-04;
FAUX;Prospero;Albrici;m;GR;CE;;Membre;Parti radical-démocratique suisse;1874-07-02;1873-07-08;
FAUX;Fredi;Alder;m;SG;CN;Groupe socialiste;Membre;Parti socialiste suisse;1999-12-05;1995-12-04;
FAUX;Claudius;Alder;m;BL;CN;Groupe indépendant et évangelique;Membre;Alliance des Indépendants;1983-11-27;1971-11-29;
FAUX;Peter;Aliesch;m;GR;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1990-12-31;1983-11-28;
FAUX;Werner;Allemann;m;AG;CN;Groupe socialiste;Membre;Parti socialiste suisse;1963-12-01;1944-09-18;
FAUX;Evi;Allemann;f;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;2007-12-02;2003-12-01;
FAUX;Evi;Allemann;f;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;2015-11-29;2011-12-05;
VRAI;Evi;Allemann;f;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;;2015-11-30;
FAUX;Evi;Allemann;f;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;2011-12-04;2007-12-03;
FAUX;Heinz;Allenspach;m;ZH;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1995-12-03;1979-11-26;
FAUX;Alexis;Allet;m;VS;CN;;Membre;Conservateurs;1872-12-02;1851-12-02;
FAUX;Walter;Allgöwer;m;BS;CN;Groupe indépendant;Membre;Alliance des Indépendants;1979-11-25;1963-12-02;
FAUX;Werner;Allgöwer;m;LU;CN;Groupe socialiste;Membre;Parti socialiste suisse;1955-12-04;1950-06-05;
FAUX;Alexandre Félix;Alméras;m;GE;CE;;Membre;Parti radical-démocratique suisse;1862-12-02;1860-01-10;
FAUX;Alexandre Félix;Alméras;m;GE;CN;;Membre;Parti radical-démocratique suisse;1854-12-04;1848-11-07;
FAUX;Hans;Altherr;m;AR;CE;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2007-12-02;2004-03-08;
FAUX;Hans;Altherr;m;AR;CE;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2011-12-04;2007-12-03;
FAUX;Hans;Altherr;m;AR;CE;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;2015-11-29;2011-12-05;
FAUX;Gustav;Altherr;m;AR;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1935-12-01;1931-06-01;
FAUX;Hermann;Altherr;m;AR;CN;;Membre;Parti radical-démocratique suisse;1911-12-03;1905-06-05;
FAUX;Paul;Altwegg;m;TG;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1951-12-02;1935-12-02;
FAUX;Johannes;Altwegg;m;TG;CE;;Membre;Parti radical-démocratique suisse;1888-11-18;1880-11-30;
FAUX;Paul;Altwegg;m;TG;CE;Groupe radical-démocratique;Président(e);Parti radical-démocratique suisse;1951-12-02;1935-12-02;
FAUX;Paul;Altwegg;m;TG;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1951-12-02;1935-12-02;
FAUX;Antoine-Joseph;Amacker;m;VS;CE;Centre;Membre;;1859-05-02;1857-06-10;
FAUX;Kathrin;Amacker-Amann;f;BL;CN;Groupe PDC/PEV/PVL;Membre;Parti démocrate-chrétien suisse;2010-11-28;2007-12-03;
VRAI;Cesla;Amarelle;f;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;;2015-11-30;
FAUX;Cesla;Amarelle;f;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;2015-11-29;2011-12-05;
FAUX;Céline;Amaudruz;f;GE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2015-11-29;2011-12-05;
VRAI;Céline;Amaudruz;f;GE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;;2015-11-30;
FAUX;Johann;Amberg;m;LU;CN;;Membre;Conservateurs;1878-12-02;1873-11-04;
FAUX;Johann Ulrich;Ambühl;m;SG;CN;Centre;Membre;Libéral;1872-07-29;1869-12-07;
FAUX;Madeleine;Amgwerd;f;JU;CE;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;2007-12-02;2003-12-01;
FAUX;Viola;Amherd;f;VS;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;2007-12-02;2005-05-31;
VRAI;Viola;Amherd;f;VS;CN;Groupe PDC;Vice-président(e);Parti démocrate-chrétien suisse;;2015-11-30;
FAUX;Viola;Amherd;f;VS;CN;Groupe PDC/PEV/PVL;Membre;Parti démocrate-chrétien suisse;2011-12-04;2007-12-03;
FAUX;Viola;Amherd;f;VS;CN;Groupe PDC-PEV;Vice-président(e);Parti démocrate-chrétien suisse;2015-11-29;2011-12-05;
VRAI;Thomas;Ammann;m;SG;CN;Groupe PDC;Membre;Parti démocrate-chrétien suisse;;2015-11-30;
FAUX;Ulrich;Ammann;m;BE;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1987-11-29;1975-12-01;
FAUX;P. Albert;Ammann;m;SH;CE;;Président(e);Parti radical-démocratique suisse;1928-12-02;1896-12-08;
FAUX;Johann Heinrich;Ammann;m;SH;CE;Gauche;Membre;Libéral;1855-06-02;1849-11-13;
FAUX;Johann Heinrich;Ammann;m;SH;CE;Gauche;Membre;Libéral;1859-06-02;1857-07-07;
FAUX;Johann Heinrich;Ammann;m;SH;CN;Centre;Membre;Libéral;1863-12-07;1860-12-04;
FAUX;P. Albert;Ammann;m;SH;CE;;Membre;Parti radical-démocratique suisse;1928-12-02;1896-12-08;
