FAUX;Gustave;Ador;m;Genève;GE;Conseil fédéral;;;Parti libéral suisse;PLS;;;;;1917-06-26;1919-12-31;Vuiteboeuf (VD),Genève (GE);1845-12-24;1928-03-31;
FAUX;Gustave;Ador;m;Genève;GE;Conseil national;;;Parti libéral suisse;PLS;;;;;1889-03-26;1902-02-01;Vuiteboeuf (VD),Genève (GE);1845-12-24;1928-03-31;
FAUX;Gustave;Ador;m;Genève;GE;Conseil des Etats;Centre;MC;Démocrates;Dém*;;;;;1878-12-03;1880-09-02;Vuiteboeuf (VD),Genève (GE);1845-12-24;1928-03-31;
FAUX;Gustave;Ador;m;Genève;GE;Conseil national;;;Parti libéral suisse;PLS;;;;;1889-03-26;1902-02-01;Vuiteboeuf (VD),Genève (GE);1845-12-24;1928-03-31;
FAUX;Ernst;Aebersold;m;Berne;BE;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;;;;1947-12-01;1958-11-23;Rubigen (BE);1887-03-30;1958-11-23;
VRAI;Andreas;Aebi;m;Berne;BE;Conseil national;Groupe de l'Union démocratique du Centre;V;Union Démocratique du Centre;UDC;marié(e);Burgdorf;Berne;Legislative der Gemeinde: seit Januar 2000 / Gemeindepräsident von Alchenstorf: von 1998 bis 2008;2015-11-30;;Wynigen (BE);1958-11-26;;
FAUX;Andreas;Aebi;m;Berne;BE;Conseil national;Groupe de l'Union démocratique du Centre;V;Union Démocratique du Centre;UDC;marié(e);Burgdorf;Berne;Legislative der Gemeinde: seit Januar 2000 / Gemeindepräsident von Alchenstorf: von 1998 bis 2008;2011-12-05;2015-11-29;Wynigen (BE);1958-11-26;;
FAUX;Andreas;Aebi;m;Berne;BE;Conseil national;Groupe de l'Union démocratique du Centre;V;Union Démocratique du Centre;UDC;marié(e);Burgdorf;Berne;Legislative der Gemeinde: seit Januar 2000 / Gemeindepräsident von Alchenstorf: von 1998 bis 2008;2007-12-03;2011-12-04;Wynigen (BE);1958-11-26;;
VRAI;Matthias;Aebischer;m;Berne;BE;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;marié(e);Schwarzenburg;Berne;;2015-11-30;;Guggisberg (BE);1967-10-18;;
FAUX;Paul;Aebischer;m;Berne;BE;Conseil national;Groupe démocrate et évangélique;DE;Parti évangélique suisse;PEV;;;;;1967-12-04;1971-02-27;Guggisberg (BE);1908-11-02;1971-02-27;
FAUX;Max;Aebischer;m;Fribourg;FR;Conseil national;Groupe conservateur-catholique;K;Conservateurs;Cons*;;;;;1951-12-03;1969-11-24;Saint-Ours (FR),Heitenried (FR);1914-01-02;2009-02-28;
FAUX;Matthias;Aebischer;m;Berne;BE;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;marié(e);Schwarzenburg;Berne;;2011-12-05;2015-11-29;Guggisberg (BE);1967-10-18;;
FAUX;Pierre;Aeby;m;Fribourg;FR;Conseil des Etats;Groupe socialiste;S;Parti socialiste suisse;PSS;marié(e);Berne;Berne;1978 à 1981 exécutif communal, 1992 à en fonction exécutif cantonal;1995-12-04;1999-12-05;Guin (FR);1950-02-14;;
FAUX;Paul;Aeby;m;Fribourg;FR;Conseil national;;;Conservateurs;Cons*;;;;;1881-02-15;1881-10-02;Fribourg (FR);1841-11-14;1898-07-19;
FAUX;Pierre;Aeby;m;Fribourg;FR;Conseil national;Groupe conservateur-catholique;K;Conservateurs;Cons*;;;;;1931-12-01;1947-11-30;Fribourg (FR);1884-05-07;1957-02-04;
