FAUX;Fabio;Abate;m;Tessin;TI;Conseil national;Groupe radical-libéral;RL;Parti radical-démocratique suisse;PRD;;Locarno;Tessin;Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001;2007-12-03;2011-12-04;Cabbio (TI);1966-01-04;;
FAUX;Fabio;Abate;m;Tessin;TI;Conseil national;Groupe radical-libéral;R;Parti radical-démocratique suisse;PRD;;Locarno;Tessin;Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001;2000-09-25;2003-11-30;Cabbio (TI);1966-01-04;;
FAUX;Fabio;Abate;m;Tessin;TI;Conseil des Etats;Groupe libéral-radical;RL;PLR.Les Libéraux-Radicaux;PLR;;Locarno;Tessin;Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001;2011-12-05;2015-11-29;Cabbio (TI);1966-01-04;;
VRAI;Fabio;Abate;m;Tessin;TI;Conseil des Etats;Groupe libéral-radical;RL;PLR.Les Libéraux-Radicaux;PLR;;Locarno;Tessin;Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001;2015-11-30;2019-12-01;Cabbio (TI);1966-01-04;;
FAUX;Fabio;Abate;m;Tessin;TI;Conseil national;Groupe radical-libéral;R;Parti radical-démocratique suisse;PRD;;Locarno;Tessin;Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001;2003-12-01;2007-12-02;Cabbio (TI);1966-01-04;;
FAUX;Johann Jakob;Abegg;m;Zurich;ZH;Conseil national;Groupe libéral démocrate;LD;Libéral;Lib*;;;;;1887-12-05;1912-02-17;Küsnacht (ZH);1834-07-23;1912-02-17;
FAUX;Alfred;Abegg;m;Thurgovie;TG;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;;;;1963-12-02;1971-11-28;Zurich (ZH);1914-11-18;1998-08-13;
FAUX;Heinrich E.;Abt;m;Argovie;AG;Conseil national;;;Parti radical-démocratique suisse;PRD;;;;;1911-12-04;1919-11-01;Bünzen (AG);1854-06-22;1937-11-15;
FAUX;H. Roman;Abt;m;Argovie;AG;Conseil national;Groupe des Paysans, Artisans et Bourgeois;BGB;Paysans, Artisans et Bourgeois;PAB;;;;;1919-01-01;1942-03-27;Bünzen (AG);1883-01-15;1942-03-27;
FAUX;H. Roman;Abt;m;Argovie;AG;Conseil national;Groupe des Paysans, Artisans et Bourgeois;BGB;Paysans, Artisans et Bourgeois;PAB;;;;;1919-01-01;1942-03-27;Bünzen (AG);1883-01-15;1942-03-27;
FAUX;H. Roman;Abt;m;Argovie;AG;Conseil national;Groupe des Paysans, Artisans et Bourgeois;BGB;Paysans, Artisans et Bourgeois;PAB;;;;;1919-01-01;1942-03-27;Bünzen (AG);1883-01-15;1942-03-27;
